,position,manager,value_increase
0,All,Kasper Hjulmand,1.5775799106242714
1,All,Peter Sörensen,1.675777570551615
2,All,Kent Nielsen,1.6884400714734156
3,All,Kurban Berdyev,1.3877590398219126
4,All,Rudi Garcia,2.017027989927111
5,All,Christophe Galtier,1.4610783887937178
6,All,Carlo Ancelotti,1.1824434644778206
7,All,Claude Puel,1.373064218313336
8,All,Roman Grygorchuk,1.0534840935418748
9,All,Alain Casanova,1.4651232020286535
10,All,Frank de Boer,2.5796157067258303
11,All,Massimiliano Allegri,1.2901025432422748
12,All,Stefano Pioli,1.7059342856569286
13,All,Brendan Rodgers,2.5461578439277908
14,All,Arsène Wenger,2.7366077234409882
15,All,Vincenzo Montella,1.032620842171109
16,All,Neil Lennon,1.296693772806722
17,All,Ron Jans,1.499177574728206
18,All,Adrie Koster,1.1806224433752452
19,All,Peter Maes,1.2349070904850543
20,All,John van den Brom,1.7439398379496596
21,All,Francky Dury,1.1948044118628416
22,All,Hein Vanhaezebrouck,1.3268882557832204
23,All,Leonardo Jardim,1.7908213261475177
24,All,Ronald Koeman,2.176192396247934
25,All,Lucien Favre,1.6585325394610997
26,All,Bruno Labbadia,1.3828739447716152
27,All,Thomas Tuchel,1.133759024353645
28,All,Huub Stevens,1.5623818554288085
29,All,Dieter Hecking,1.23085427183352
30,All,Markus Weinzierl,1.369981984018741
31,All,Christian Streich,1.69670479475131
32,All,Jürgen Klopp,1.65091669821848
33,All,Gian Piero Gasperini,1.3502775613627405
34,All,Pedro Martins,1.1179371812407164
35,All,Sérgio Conceição,1.4879235251460765
36,All,Yuriy Maksymov,2.1506270204558002
37,All,Mauricio Pochettino,2.0197908605200654
38,All,Michel,1.4267578714699354
39,All,José Mourinho,1.193347366752337
40,All,Ernesto Valverde,1.288758518773075
41,All,Diego Simeone,1.3147985266689757
42,All,Philippe Clement,2.1962187414319767
43,All,Fatih Terim,1.0258313205722362
44,All,Senol Günes,1.1737701221643468
45,All,Brian Priske,1.5620756409224112
46,All,Valeriy Karpin,1.099542634754421
47,All,Leonid Slutski,1.4698035212702885
48,All,Unai Emery,3.4133870296730304
49,All,Nuno Espírito Santo,1.7753536035704665
50,All,Davide Ballardini,1.28833395865165
51,All,Manuel Machado,1.0973715913869113
52,All,Giannis Petrakis,1.4413997423637817
53,All,Markus Gisdol,1.5961924482669452
54,All,Alfred Schreuder,0.9580005354444232
55,All,Erwin van de Looi,1.8307822477456708
56,All,Thomas Frank,1.1978091241379873
57,All,Niels Frederiksen,1.908143194899498
58,All,Felice Mazzù,1.3660454203707373
59,All,Pep Guardiola,1.8854420358495527
60,All,Giannis Anastasiou,1.178121888317307
61,All,Michel Der Zakarian,1.5123799788873267
62,All,Derek McInnes,1.5238671182769914
63,All,Michel Preud'homme,1.6009223629042002
64,All,Siniša Mihajlović,0.9324218007032341
65,All,Ralph Hasenhüttl,1.439965546997767
66,All,Marcelino,1.7394192876813737
67,All,Henk Fraser,1.8102659336536142
68,All,Callum Davidson,1.6918093240644843
69,All,Henk de Jong,1.0294653519561334
70,All,Ernest Faber,1.537112514866169
71,All,Roman Sanzhar,1.0
72,All,Yves Vanderhaeghe,1.2073884828223371
73,All,Stale Solbakken,1.6052391292852248
74,All,Roger Schmidt,1.2617528991078286
75,All,Petit,1.3553732570362045
76,All,Ismail Kartal,1.0
77,All,Abdullah Avci,1.222696172532876
78,All,Viktor Skrypnyk,1.1779641983076592
79,All,Razvan Lucescu,1.5046581122094336
80,All,Quique Sánchez Flores,1.6553664532957608
81,All,Robbie Neilson,1.162785063079256
82,All,Kemal Özdes,1.7060329754138017
83,All,Pál Dárdai,1.201991897297689
84,All,Oleksandr Babych,1.1986438537899677
85,All,Martin Canning,1.79377360325736
86,All,Giovanni van Bronckhorst,1.6994103211376506
87,All,René Hake,1.1214644834938547
88,All,Erik ten Hag,1.7438807877638811
89,All,Marco Giampaolo,1.0
90,All,David Nielsen,1.8533661080299346
91,All,Bruno Génésio,1.4579227679623252
92,All,Julian Nagelsmann,1.5495723845385292
93,All,Zinédine Zidane,1.601315619078552
94,All,Niko Kovac,1.401113028664042
95,All,Simone Inzaghi,1.4023073960244086
96,All,Viktor Goncharenko,1.4292893514677047
97,All,Roberto De Zerbi,1.565429626087353
98,All,Dick Lukkien,1.512702051882786
99,All,Thomas Thomasberg,1.8045950713967045
100,All,Imanol Alguacil,1.5649343973768948
101,All,Danny Buijs,1.3745699094450359
102,All,Johnny Jansen,1.175791565151025
103,All,Arne Slot,1.4267013515812694
104,All,Sjors Ultee,1.0584774740212812
105,All,João Pedro Sousa,1.28088201244979
106,All,Mikel Arteta,1.2678619031446114
107,All,Rúben Amorim,1.9756210032036292
108,All,Thomas Letsch,1.6331891704740285
109,All,Pascal Jansen,1.3232059350334213
