,position,player_club_id,club_name,value_increase
181,All,995.0,FC Nantes,2.594288951862211
191,All,468.0,Sparta Rotterdam,1.9202405067265702
187,All,1050.0,Villarreal CF,1.919593129019818
171,All,281.0,Manchester City,1.8854420358495527
51,All,610.0,Ajax Amsterdam,1.8336728828252395
63,All,31.0,Liverpool FC,1.8275154797811812
59,All,29.0,Everton FC,1.816374151639127
183,All,162.0,AS Monaco,1.7822639968737772
32,All,1095.0,ESTAC Troyes,1.7814914585980821
204,All,1420.0,Angers SCO,1.7278882899412142
213,Defender,190.0,FC Copenhagen,2.520318631140496
275,Defender,60.0,SC Freiburg,2.5010212349141043
227,Defender,1049.0,Valencia CF,2.408027498283323
311,Defender,1050.0,Villarreal CF,2.3594863387155645
229,Defender,1082.0,LOSC Lille,2.2617180391087492
241,Defender,294.0,SL Benfica,2.2179399829266413
242,Defender,610.0,Ajax Amsterdam,2.117196248575165
228,Defender,1041.0,Olympique Lyon,2.0706289773437594
315,Defender,23826.0,RB Leipzig,2.025317061796839
267,Defender,234.0,Feyenoord Rotterdam,1.989827089401322
427,Midfielder,995.0,FC Nantes,2.7501814230305346
334,Midfielder,273.0,Stade Rennais FC,2.499731637971869
350,Midfielder,610.0,Ajax Amsterdam,2.3699459021894684
389,Midfielder,39.0,1.FSV Mainz 05,2.189608858902631
431,Midfielder,1050.0,Villarreal CF,2.1399711173197757
367,Midfielder,58.0,RSC Anderlecht,1.9626452861773331
414,Midfielder,16704.0,FK Krasnodar,1.9040069401671822
428,Midfielder,162.0,AS Monaco,1.8679116439860535
318,Midfielder,865.0,FC Midtjylland,1.8281967641323094
399,Midfielder,418.0,Real Madrid,1.7493708023341061
506,Attacker,16.0,Borussia Dortmund,2.4047810781648846
454,Attacker,2282.0,Club Brugge KV,2.3037103460637307
525,Attacker,40.0,FC Girondins Bordeaux,2.2572611169068035
436,Attacker,865.0,FC Midtjylland,2.2022610121244552
499,Attacker,499.0,Vitesse Arnhem,2.2009132465703694
517,Attacker,202.0,FC Groningen,2.126122460625464
530,Attacker,3709.0,Getafe CF,1.962403229278469
471,Attacker,29.0,Everton FC,1.9550727785898045
550,Attacker,1420.0,Angers SCO,1.9089896692404844
520,Attacker,985.0,Manchester United,1.907065479194033
